7: Ground truth-automobile, Test result-airplane
8: Ground truth-frog, Test result-bird
11: Ground truth-airplane, Test result-deer
25: Ground truth-dog, Test result-deer
26: Ground truth-bird, Test result-truck
33: Ground truth-deer, Test result-bird
34: Ground truth-dog, Test result-cat
36: Ground truth-bird, Test result-cat
53: Ground truth-airplane, Test result-bird
57: Ground truth-horse, Test result-dog
58: Ground truth-horse, Test result-cat
59: Ground truth-deer, Test result-dog
60: Ground truth-frog, Test result-cat
62: Ground truth-cat, Test result-dog
68: Ground truth-bird, Test result-airplane
71: Ground truth-bird, Test result-cat
72: Ground truth-frog, Test result-cat
77: Ground truth-truck, Test result-airplane
82: Ground truth-automobile, Test result-truck
86: Ground truth-dog, Test result-horse
87: Ground truth-bird, Test result-deer
88: Ground truth-horse, Test result-ship
92: Ground truth-cat, Test result-frog
101: Ground truth-deer, Test result-dog
107: Ground truth-cat, Test result-ship
113: Ground truth-frog, Test result-bird
116: Ground truth-cat, Test result-horse
119: Ground truth-bird, Test result-cat
120: Ground truth-horse, Test result-cat
122: Ground truth-cat, Test result-horse
126: Ground truth-airplane, Test result-bird
128: Ground truth-cat, Test result-dog
129: Ground truth-dog, Test result-frog
130: Ground truth-bird, Test result-airplane
140: Ground truth-truck, Test result-ship
144: Ground truth-cat, Test result-dog
148: Ground truth-bird, Test result-dog
159: Ground truth-dog, Test result-cat
161: Ground truth-bird, Test result-airplane
165: Ground truth-ship, Test result-airplane
169: Ground truth-dog, Test result-horse
189: Ground truth-deer, Test result-cat
190: Ground truth-airplane, Test result-ship
207: Ground truth-airplane, Test result-ship
211: Ground truth-horse, Test result-dog
212: Ground truth-deer, Test result-truck
216: Ground truth-airplane, Test result-deer
222: Ground truth-frog, Test result-cat
224: Ground truth-deer, Test result-horse
225: Ground truth-cat, Test result-deer
228: Ground truth-deer, Test result-bird
229: Ground truth-horse, Test result-cat
239: Ground truth-dog, Test result-cat
240: Ground truth-dog, Test result-cat
243: Ground truth-ship, Test result-airplane
248: Ground truth-truck, Test result-ship
251: Ground truth-dog, Test result-deer
257: Ground truth-cat, Test result-frog
259: Ground truth-airplane, Test result-ship
264: Ground truth-horse, Test result-cat
265: Ground truth-airplane, Test result-ship
267: Ground truth-bird, Test result-ship
271: Ground truth-bird, Test result-cat
278: Ground truth-cat, Test result-horse
280: Ground truth-cat, Test result-dog
285: Ground truth-airplane, Test result-truck
288: Ground truth-airplane, Test result-ship
294: Ground truth-truck, Test result-automobile
303: Ground truth-cat, Test result-dog
304: Ground truth-bird, Test result-automobile
305: Ground truth-frog, Test result-bird
306: Ground truth-automobile, Test result-ship
309: Ground truth-automobile, Test result-truck
310: Ground truth-frog, Test result-bird
313: Ground truth-ship, Test result-airplane
314: Ground truth-airplane, Test result-cat
321: Ground truth-cat, Test result-dog
322: Ground truth-dog, Test result-cat
324: Ground truth-cat, Test result-dog
341: Ground truth-bird, Test result-deer
344: Ground truth-dog, Test result-horse
355: Ground truth-bird, Test result-frog
357: Ground truth-cat, Test result-dog
367: Ground truth-automobile, Test result-airplane
368: Ground truth-cat, Test result-deer
369: Ground truth-ship, Test result-deer
377: Ground truth-airplane, Test result-deer
379: Ground truth-airplane, Test result-ship
386: Ground truth-ship, Test result-airplane
389: Ground truth-bird, Test result-dog
400: Ground truth-cat, Test result-truck
402: Ground truth-ship, Test result-automobile
406: Ground truth-deer, Test result-frog
412: Ground truth-truck, Test result-airplane
413: Ground truth-cat, Test result-dog
417: Ground truth-airplane, Test result-cat
419: Ground truth-cat, Test result-dog
422: Ground truth-dog, Test result-horse
423: Ground truth-airplane, Test result-ship
429: Ground truth-airplane, Test result-frog
431: Ground truth-bird, Test result-cat
435: Ground truth-cat, Test result-horse
442: Ground truth-deer, Test result-bird
446: Ground truth-horse, Test result-bird
451: Ground truth-bird, Test result-frog
457: Ground truth-cat, Test result-deer
458: Ground truth-dog, Test result-deer
460: Ground truth-frog, Test result-truck
461: Ground truth-dog, Test result-bird
464: Ground truth-deer, Test result-dog
465: Ground truth-cat, Test result-truck
469: Ground truth-horse, Test result-dog
475: Ground truth-dog, Test result-cat
478: Ground truth-airplane, Test result-truck
486: Ground truth-truck, Test result-airplane
489: Ground truth-dog, Test result-deer
507: Ground truth-horse, Test result-cat
519: Ground truth-dog, Test result-horse
539: Ground truth-truck, Test result-ship
542: Ground truth-horse, Test result-deer
550: Ground truth-dog, Test result-cat
551: Ground truth-dog, Test result-bird
556: Ground truth-deer, Test result-truck
564: Ground truth-bird, Test result-cat
565: Ground truth-bird, Test result-deer
566: Ground truth-cat, Test result-dog
568: Ground truth-horse, Test result-dog
570: Ground truth-bird, Test result-deer
571: Ground truth-frog, Test result-bird
578: Ground truth-truck, Test result-ship
580: Ground truth-dog, Test result-bird
584: Ground truth-deer, Test result-truck
597: Ground truth-horse, Test result-airplane
598: Ground truth-cat, Test result-bird
599: Ground truth-dog, Test result-deer
619: Ground truth-bird, Test result-deer
631: Ground truth-bird, Test result-ship
648: Ground truth-deer, Test result-horse
