38: Ground truth-automobile, Test result B-truck
100: Ground truth-horse, Test result B-cat
127: Ground truth-ship, Test result B-airplane
141: Ground truth-frog, Test result B-cat
170: Ground truth-airplane, Test result B-ship
172: Ground truth-truck, Test result B-airplane
177: Ground truth-cat, Test result B-frog
196: Ground truth-bird, Test result B-deer
214: Ground truth-truck, Test result B-horse
227: Ground truth-frog, Test result B-deer
234: Ground truth-ship, Test result B-automobile
238: Ground truth-airplane, Test result B-horse
246: Ground truth-cat, Test result B-bird
255: Ground truth-deer, Test result B-bird
260: Ground truth-truck, Test result B-automobile
272: Ground truth-cat, Test result B-dog
276: Ground truth-dog, Test result B-bird
302: Ground truth-frog, Test result B-bird
307: Ground truth-ship, Test result B-truck
311: Ground truth-ship, Test result B-automobile
315: Ground truth-deer, Test result B-dog
325: Ground truth-deer, Test result B-horse
333: Ground truth-cat, Test result B-frog
364: Ground truth-automobile, Test result B-deer
371: Ground truth-deer, Test result B-bird
384: Ground truth-truck, Test result B-automobile
385: Ground truth-bird, Test result B-dog
427: Ground truth-cat, Test result B-frog
428: Ground truth-deer, Test result B-cat
434: Ground truth-horse, Test result B-cat
437: Ground truth-bird, Test result B-cat
439: Ground truth-cat, Test result B-dog
440: Ground truth-automobile, Test result B-truck
454: Ground truth-cat, Test result B-dog
471: Ground truth-cat, Test result B-deer
485: Ground truth-dog, Test result B-cat
516: Ground truth-cat, Test result B-dog
526: Ground truth-dog, Test result B-cat
529: Ground truth-deer, Test result B-airplane
532: Ground truth-airplane, Test result B-cat
533: Ground truth-truck, Test result B-automobile
549: Ground truth-bird, Test result B-frog
552: Ground truth-dog, Test result B-cat
574: Ground truth-cat, Test result B-dog
607: Ground truth-deer, Test result B-cat
635: Ground truth-horse, Test result B-deer
642: Ground truth-cat, Test result B-frog
643: Ground truth-airplane, Test result B-bird
658: Ground truth-automobile, Test result B-dog
662: Ground truth-deer, Test result B-horse
672: Ground truth-cat, Test result B-dog
676: Ground truth-airplane, Test result B-bird
693: Ground truth-bird, Test result B-airplane
718: Ground truth-ship, Test result B-truck
761: Ground truth-cat, Test result B-horse
776: Ground truth-bird, Test result B-deer
810: Ground truth-horse, Test result B-deer
867: Ground truth-cat, Test result B-automobile
879: Ground truth-cat, Test result B-bird
888: Ground truth-automobile, Test result B-ship
899: Ground truth-cat, Test result B-dog
911: Ground truth-dog, Test result B-deer
923: Ground truth-truck, Test result B-horse
937: Ground truth-bird, Test result B-cat
946: Ground truth-cat, Test result B-dog
958: Ground truth-cat, Test result B-frog
973: Ground truth-bird, Test result B-deer
1013: Ground truth-frog, Test result B-bird
1020: Ground truth-dog, Test result B-deer
1037: Ground truth-airplane, Test result B-deer
1043: Ground truth-dog, Test result B-bird
1058: Ground truth-horse, Test result B-dog
1093: Ground truth-frog, Test result B-horse
1110: Ground truth-airplane, Test result B-automobile
1113: Ground truth-cat, Test result B-deer
1135: Ground truth-automobile, Test result B-ship
1137: Ground truth-truck, Test result B-automobile
1138: Ground truth-airplane, Test result B-cat
1148: Ground truth-frog, Test result B-truck
1152: Ground truth-bird, Test result B-frog
1159: Ground truth-automobile, Test result B-truck
1223: Ground truth-truck, Test result B-automobile
1234: Ground truth-deer, Test result B-ship
1237: Ground truth-horse, Test result B-bird
1249: Ground truth-bird, Test result B-cat
1252: Ground truth-bird, Test result B-horse
1275: Ground truth-cat, Test result B-dog
1281: Ground truth-cat, Test result B-dog
1286: Ground truth-truck, Test result B-automobile
1294: Ground truth-deer, Test result B-horse
1330: Ground truth-dog, Test result B-horse
1347: Ground truth-cat, Test result B-truck
1354: Ground truth-cat, Test result B-truck
1369: Ground truth-cat, Test result B-dog
