25: Ground truth-dog, Test result A-deer, Test result B-deer
36: Ground truth-bird, Test result A-cat, Test result B-frog
53: Ground truth-airplane, Test result A-bird, Test result B-horse
58: Ground truth-horse, Test result A-cat, Test result B-dog
59: Ground truth-deer, Test result A-dog, Test result B-cat
62: Ground truth-cat, Test result A-dog, Test result B-dog
77: Ground truth-truck, Test result A-airplane, Test result B-airplane
82: Ground truth-automobile, Test result A-truck, Test result B-truck
86: Ground truth-dog, Test result A-horse, Test result B-horse
88: Ground truth-horse, Test result A-ship, Test result B-truck
92: Ground truth-cat, Test result A-frog, Test result B-frog
101: Ground truth-deer, Test result A-dog, Test result B-horse
107: Ground truth-cat, Test result A-ship, Test result B-bird
113: Ground truth-frog, Test result A-bird, Test result B-bird
119: Ground truth-bird, Test result A-cat, Test result B-cat
120: Ground truth-horse, Test result A-cat, Test result B-dog
126: Ground truth-airplane, Test result A-bird, Test result B-bird
129: Ground truth-dog, Test result A-frog, Test result B-frog
130: Ground truth-bird, Test result A-airplane, Test result B-airplane
140: Ground truth-truck, Test result A-ship, Test result B-ship
144: Ground truth-cat, Test result A-dog, Test result B-dog
148: Ground truth-bird, Test result A-dog, Test result B-frog
161: Ground truth-bird, Test result A-airplane, Test result B-cat
165: Ground truth-ship, Test result A-airplane, Test result B-airplane
169: Ground truth-dog, Test result A-horse, Test result B-horse
189: Ground truth-deer, Test result A-cat, Test result B-cat
190: Ground truth-airplane, Test result A-ship, Test result B-ship
207: Ground truth-airplane, Test result A-ship, Test result B-ship
211: Ground truth-horse, Test result A-dog, Test result B-dog
212: Ground truth-deer, Test result A-truck, Test result B-ship
216: Ground truth-airplane, Test result A-deer, Test result B-cat
222: Ground truth-frog, Test result A-cat, Test result B-cat
225: Ground truth-cat, Test result A-deer, Test result B-deer
228: Ground truth-deer, Test result A-bird, Test result B-bird
229: Ground truth-horse, Test result A-cat, Test result B-cat
239: Ground truth-dog, Test result A-cat, Test result B-cat
243: Ground truth-ship, Test result A-airplane, Test result B-automobile
248: Ground truth-truck, Test result A-ship, Test result B-ship
257: Ground truth-cat, Test result A-frog, Test result B-frog
259: Ground truth-airplane, Test result A-ship, Test result B-ship
264: Ground truth-horse, Test result A-cat, Test result B-cat
267: Ground truth-bird, Test result A-ship, Test result B-cat
271: Ground truth-bird, Test result A-cat, Test result B-horse
278: Ground truth-cat, Test result A-horse, Test result B-deer
280: Ground truth-cat, Test result A-dog, Test result B-dog
285: Ground truth-airplane, Test result A-truck, Test result B-truck
288: Ground truth-airplane, Test result A-ship, Test result B-ship
294: Ground truth-truck, Test result A-automobile, Test result B-automobile
304: Ground truth-bird, Test result A-automobile, Test result B-cat
310: Ground truth-frog, Test result A-bird, Test result B-deer
313: Ground truth-ship, Test result A-airplane, Test result B-airplane
321: Ground truth-cat, Test result A-dog, Test result B-dog
322: Ground truth-dog, Test result A-cat, Test result B-cat
324: Ground truth-cat, Test result A-dog, Test result B-bird
341: Ground truth-bird, Test result A-deer, Test result B-deer
344: Ground truth-dog, Test result A-horse, Test result B-horse
355: Ground truth-bird, Test result A-frog, Test result B-cat
357: Ground truth-cat, Test result A-dog, Test result B-bird
