25: Ground truth-dog, Test result-deer
36: Ground truth-bird, Test result-frog
38: Ground truth-automobile, Test result-truck
53: Ground truth-airplane, Test result-horse
58: Ground truth-horse, Test result-dog
59: Ground truth-deer, Test result-cat
62: Ground truth-cat, Test result-dog
77: Ground truth-truck, Test result-airplane
82: Ground truth-automobile, Test result-truck
86: Ground truth-dog, Test result-horse
88: Ground truth-horse, Test result-truck
92: Ground truth-cat, Test result-frog
100: Ground truth-horse, Test result-cat
101: Ground truth-deer, Test result-horse
107: Ground truth-cat, Test result-bird
113: Ground truth-frog, Test result-bird
119: Ground truth-bird, Test result-cat
120: Ground truth-horse, Test result-dog
126: Ground truth-airplane, Test result-bird
127: Ground truth-ship, Test result-airplane
129: Ground truth-dog, Test result-frog
130: Ground truth-bird, Test result-airplane
140: Ground truth-truck, Test result-ship
141: Ground truth-frog, Test result-cat
144: Ground truth-cat, Test result-dog
148: Ground truth-bird, Test result-frog
161: Ground truth-bird, Test result-cat
165: Ground truth-ship, Test result-airplane
169: Ground truth-dog, Test result-horse
170: Ground truth-airplane, Test result-ship
172: Ground truth-truck, Test result-airplane
177: Ground truth-cat, Test result-frog
189: Ground truth-deer, Test result-cat
190: Ground truth-airplane, Test result-ship
196: Ground truth-bird, Test result-deer
207: Ground truth-airplane, Test result-ship
211: Ground truth-horse, Test result-dog
212: Ground truth-deer, Test result-ship
214: Ground truth-truck, Test result-horse
216: Ground truth-airplane, Test result-cat
222: Ground truth-frog, Test result-cat
225: Ground truth-cat, Test result-deer
227: Ground truth-frog, Test result-deer
228: Ground truth-deer, Test result-bird
229: Ground truth-horse, Test result-cat
234: Ground truth-ship, Test result-automobile
238: Ground truth-airplane, Test result-horse
239: Ground truth-dog, Test result-cat
243: Ground truth-ship, Test result-automobile
246: Ground truth-cat, Test result-bird
248: Ground truth-truck, Test result-ship
255: Ground truth-deer, Test result-bird
257: Ground truth-cat, Test result-frog
259: Ground truth-airplane, Test result-ship
260: Ground truth-truck, Test result-automobile
264: Ground truth-horse, Test result-cat
267: Ground truth-bird, Test result-cat
271: Ground truth-bird, Test result-horse
272: Ground truth-cat, Test result-dog
276: Ground truth-dog, Test result-bird
278: Ground truth-cat, Test result-deer
280: Ground truth-cat, Test result-dog
285: Ground truth-airplane, Test result-truck
288: Ground truth-airplane, Test result-ship
294: Ground truth-truck, Test result-automobile
302: Ground truth-frog, Test result-bird
304: Ground truth-bird, Test result-cat
307: Ground truth-ship, Test result-truck
310: Ground truth-frog, Test result-deer
311: Ground truth-ship, Test result-automobile
313: Ground truth-ship, Test result-airplane
315: Ground truth-deer, Test result-dog
321: Ground truth-cat, Test result-dog
322: Ground truth-dog, Test result-cat
324: Ground truth-cat, Test result-bird
325: Ground truth-deer, Test result-horse
333: Ground truth-cat, Test result-frog
341: Ground truth-bird, Test result-deer
344: Ground truth-dog, Test result-horse
355: Ground truth-bird, Test result-cat
357: Ground truth-cat, Test result-bird
364: Ground truth-automobile, Test result-deer
367: Ground truth-automobile, Test result-truck
368: Ground truth-cat, Test result-airplane
369: Ground truth-ship, Test result-airplane
371: Ground truth-deer, Test result-bird
377: Ground truth-airplane, Test result-truck
379: Ground truth-airplane, Test result-ship
384: Ground truth-truck, Test result-automobile
385: Ground truth-bird, Test result-dog
386: Ground truth-ship, Test result-airplane
389: Ground truth-bird, Test result-dog
400: Ground truth-cat, Test result-truck
402: Ground truth-ship, Test result-automobile
412: Ground truth-truck, Test result-ship
417: Ground truth-airplane, Test result-cat
419: Ground truth-cat, Test result-dog
422: Ground truth-dog, Test result-deer
423: Ground truth-airplane, Test result-ship
427: Ground truth-cat, Test result-frog
428: Ground truth-deer, Test result-cat
429: Ground truth-airplane, Test result-frog
431: Ground truth-bird, Test result-deer
434: Ground truth-horse, Test result-cat
435: Ground truth-cat, Test result-truck
437: Ground truth-bird, Test result-cat
439: Ground truth-cat, Test result-dog
440: Ground truth-automobile, Test result-truck
442: Ground truth-deer, Test result-bird
451: Ground truth-bird, Test result-frog
454: Ground truth-cat, Test result-dog
457: Ground truth-cat, Test result-deer
458: Ground truth-dog, Test result-horse
460: Ground truth-frog, Test result-truck
461: Ground truth-dog, Test result-bird
471: Ground truth-cat, Test result-deer
475: Ground truth-dog, Test result-cat
478: Ground truth-airplane, Test result-truck
485: Ground truth-dog, Test result-cat
489: Ground truth-dog, Test result-deer
516: Ground truth-cat, Test result-dog
519: Ground truth-dog, Test result-horse
526: Ground truth-dog, Test result-cat
529: Ground truth-deer, Test result-airplane
532: Ground truth-airplane, Test result-cat
533: Ground truth-truck, Test result-automobile
539: Ground truth-truck, Test result-ship
542: Ground truth-horse, Test result-dog
549: Ground truth-bird, Test result-frog
550: Ground truth-dog, Test result-cat
552: Ground truth-dog, Test result-cat
564: Ground truth-bird, Test result-cat
568: Ground truth-horse, Test result-cat
571: Ground truth-frog, Test result-bird
574: Ground truth-cat, Test result-dog
578: Ground truth-truck, Test result-airplane
584: Ground truth-deer, Test result-bird
598: Ground truth-cat, Test result-bird
607: Ground truth-deer, Test result-cat
631: Ground truth-bird, Test result-ship
635: Ground truth-horse, Test result-deer
642: Ground truth-cat, Test result-frog
643: Ground truth-airplane, Test result-bird
648: Ground truth-deer, Test result-cat
653: Ground truth-dog, Test result-cat
658: Ground truth-automobile, Test result-dog
662: Ground truth-deer, Test result-horse
666: Ground truth-ship, Test result-airplane
670: Ground truth-cat, Test result-dog
672: Ground truth-cat, Test result-dog
673: Ground truth-frog, Test result-deer
676: Ground truth-airplane, Test result-bird
677: Ground truth-cat, Test result-deer
678: Ground truth-automobile, Test result-truck
679: Ground truth-airplane, Test result-dog
683: Ground truth-deer, Test result-ship
684: Ground truth-ship, Test result-airplane
686: Ground truth-frog, Test result-bird
689: Ground truth-cat, Test result-frog
690: Ground truth-airplane, Test result-truck
693: Ground truth-bird, Test result-airplane
707: Ground truth-bird, Test result-airplane
708: Ground truth-truck, Test result-cat
712: Ground truth-ship, Test result-airplane
718: Ground truth-ship, Test result-truck
719: Ground truth-deer, Test result-horse
726: Ground truth-bird, Test result-ship
728: Ground truth-cat, Test result-bird
731: Ground truth-deer, Test result-dog
732: Ground truth-bird, Test result-airplane
735: Ground truth-truck, Test result-automobile
736: Ground truth-deer, Test result-bird
740: Ground truth-cat, Test result-dog
741: Ground truth-bird, Test result-dog
745: Ground truth-truck, Test result-frog
747: Ground truth-frog, Test result-deer
750: Ground truth-dog, Test result-cat
752: Ground truth-bird, Test result-airplane
761: Ground truth-cat, Test result-horse
762: Ground truth-frog, Test result-bird
767: Ground truth-horse, Test result-deer
768: Ground truth-airplane, Test result-dog
771: Ground truth-frog, Test result-dog
772: Ground truth-automobile, Test result-truck
776: Ground truth-bird, Test result-deer
780: Ground truth-dog, Test result-frog
789: Ground truth-frog, Test result-bird
791: Ground truth-cat, Test result-airplane
793: Ground truth-cat, Test result-dog
794: Ground truth-deer, Test result-cat
795: Ground truth-horse, Test result-deer
796: Ground truth-horse, Test result-dog
797: Ground truth-automobile, Test result-deer
803: Ground truth-deer, Test result-bird
810: Ground truth-horse, Test result-deer
812: Ground truth-cat, Test result-dog
818: Ground truth-dog, Test result-cat
826: Ground truth-cat, Test result-dog
831: Ground truth-automobile, Test result-airplane
835: Ground truth-dog, Test result-bird
846: Ground truth-cat, Test result-airplane
849: Ground truth-bird, Test result-frog
851: Ground truth-horse, Test result-dog
854: Ground truth-truck, Test result-automobile
863: Ground truth-cat, Test result-frog
867: Ground truth-cat, Test result-automobile
874: Ground truth-bird, Test result-airplane
879: Ground truth-cat, Test result-bird
883: Ground truth-cat, Test result-airplane
887: Ground truth-airplane, Test result-truck
888: Ground truth-automobile, Test result-ship
889: Ground truth-airplane, Test result-ship
893: Ground truth-horse, Test result-dog
894: Ground truth-frog, Test result-cat
899: Ground truth-cat, Test result-dog
904: Ground truth-dog, Test result-cat
905: Ground truth-ship, Test result-airplane
911: Ground truth-dog, Test result-deer
913: Ground truth-airplane, Test result-bird
917: Ground truth-cat, Test result-truck
923: Ground truth-truck, Test result-horse
925: Ground truth-dog, Test result-airplane
926: Ground truth-dog, Test result-cat
934: Ground truth-bird, Test result-cat
937: Ground truth-bird, Test result-cat
939: Ground truth-truck, Test result-automobile
942: Ground truth-automobile, Test result-truck
946: Ground truth-cat, Test result-dog
954: Ground truth-automobile, Test result-airplane
957: Ground truth-airplane, Test result-ship
958: Ground truth-cat, Test result-frog
966: Ground truth-frog, Test result-cat
967: Ground truth-frog, Test result-cat
973: Ground truth-bird, Test result-deer
975: Ground truth-horse, Test result-airplane
981: Ground truth-bird, Test result-frog
983: Ground truth-airplane, Test result-bird
994: Ground truth-deer, Test result-horse
996: Ground truth-cat, Test result-dog
1013: Ground truth-frog, Test result-bird
1020: Ground truth-dog, Test result-deer
1025: Ground truth-cat, Test result-dog
1033: Ground truth-frog, Test result-bird
1035: Ground truth-frog, Test result-cat
1037: Ground truth-airplane, Test result-deer
1040: Ground truth-bird, Test result-deer
1041: Ground truth-horse, Test result-cat
1043: Ground truth-dog, Test result-bird
1044: Ground truth-bird, Test result-airplane
1050: Ground truth-deer, Test result-automobile
1051: Ground truth-cat, Test result-horse
1054: Ground truth-cat, Test result-dog
1058: Ground truth-horse, Test result-dog
1065: Ground truth-truck, Test result-automobile
1066: Ground truth-cat, Test result-airplane
1067: Ground truth-truck, Test result-automobile
1073: Ground truth-airplane, Test result-ship
1091: Ground truth-airplane, Test result-ship
1093: Ground truth-frog, Test result-horse
1101: Ground truth-horse, Test result-ship
1106: Ground truth-deer, Test result-cat
1110: Ground truth-airplane, Test result-automobile
1113: Ground truth-cat, Test result-deer
1125: Ground truth-cat, Test result-dog
1127: Ground truth-bird, Test result-airplane
1131: Ground truth-horse, Test result-deer
1132: Ground truth-automobile, Test result-truck
1135: Ground truth-automobile, Test result-ship
1137: Ground truth-truck, Test result-automobile
1138: Ground truth-airplane, Test result-cat
1139: Ground truth-dog, Test result-truck
1147: Ground truth-bird, Test result-deer
1148: Ground truth-frog, Test result-truck
1151: Ground truth-bird, Test result-deer
1152: Ground truth-bird, Test result-frog
1159: Ground truth-automobile, Test result-truck
1164: Ground truth-cat, Test result-horse
1168: Ground truth-deer, Test result-cat
1178: Ground truth-truck, Test result-automobile
1179: Ground truth-frog, Test result-bird
1190: Ground truth-airplane, Test result-bird
1194: Ground truth-dog, Test result-cat
1204: Ground truth-airplane, Test result-ship
1208: Ground truth-deer, Test result-ship
1209: Ground truth-cat, Test result-truck
1219: Ground truth-ship, Test result-airplane
1220: Ground truth-cat, Test result-dog
1223: Ground truth-truck, Test result-automobile
1224: Ground truth-ship, Test result-airplane
1225: Ground truth-horse, Test result-deer
1226: Ground truth-frog, Test result-deer
1229: Ground truth-dog, Test result-airplane
1234: Ground truth-deer, Test result-ship
1237: Ground truth-horse, Test result-bird
1240: Ground truth-dog, Test result-cat
1243: Ground truth-ship, Test result-automobile
1248: Ground truth-cat, Test result-dog
1249: Ground truth-bird, Test result-cat
1252: Ground truth-bird, Test result-horse
1259: Ground truth-automobile, Test result-frog
1262: Ground truth-truck, Test result-automobile
1266: Ground truth-truck, Test result-automobile
1267: Ground truth-airplane, Test result-ship
1269: Ground truth-cat, Test result-deer
1275: Ground truth-cat, Test result-dog
1277: Ground truth-dog, Test result-automobile
1281: Ground truth-cat, Test result-dog
1286: Ground truth-truck, Test result-automobile
1294: Ground truth-deer, Test result-horse
1298: Ground truth-bird, Test result-airplane
1300: Ground truth-horse, Test result-airplane
1305: Ground truth-deer, Test result-ship
1307: Ground truth-automobile, Test result-deer
1309: Ground truth-dog, Test result-deer
1319: Ground truth-dog, Test result-cat
1326: Ground truth-bird, Test result-deer
1330: Ground truth-dog, Test result-horse
1334: Ground truth-horse, Test result-airplane
1335: Ground truth-cat, Test result-bird
1337: Ground truth-deer, Test result-frog
1340: Ground truth-dog, Test result-cat
1347: Ground truth-cat, Test result-truck
1349: Ground truth-bird, Test result-cat
1354: Ground truth-cat, Test result-truck
1356: Ground truth-dog, Test result-bird
1357: Ground truth-bird, Test result-cat
1369: Ground truth-cat, Test result-dog
1373: Ground truth-automobile, Test result-truck
1375: Ground truth-bird, Test result-airplane
1383: Ground truth-bird, Test result-airplane
1390: Ground truth-dog, Test result-deer
1392: Ground truth-horse, Test result-dog
1394: Ground truth-deer, Test result-cat
1395: Ground truth-frog, Test result-dog
1400: Ground truth-bird, Test result-airplane
1401: Ground truth-dog, Test result-cat
1404: Ground truth-frog, Test result-deer
1417: Ground truth-cat, Test result-dog
1419: Ground truth-frog, Test result-bird
1421: Ground truth-deer, Test result-horse
1426: Ground truth-deer, Test result-cat
1430: Ground truth-frog, Test result-cat
1434: Ground truth-horse, Test result-deer
1441: Ground truth-airplane, Test result-ship
1442: Ground truth-deer, Test result-frog
1443: Ground truth-cat, Test result-frog
1446: Ground truth-cat, Test result-deer
1452: Ground truth-bird, Test result-deer
1454: Ground truth-dog, Test result-bird
1455: Ground truth-cat, Test result-dog
1466: Ground truth-truck, Test result-automobile
1471: Ground truth-horse, Test result-bird
1475: Ground truth-cat, Test result-horse
1480: Ground truth-bird, Test result-cat
1481: Ground truth-automobile, Test result-cat
1486: Ground truth-airplane, Test result-bird
1492: Ground truth-deer, Test result-cat
1493: Ground truth-truck, Test result-ship
1496: Ground truth-bird, Test result-airplane
1499: Ground truth-dog, Test result-cat
1502: Ground truth-bird, Test result-frog
1507: Ground truth-dog, Test result-horse
1508: Ground truth-bird, Test result-truck
1514: Ground truth-frog, Test result-deer
1522: Ground truth-horse, Test result-deer
1527: Ground truth-deer, Test result-dog
1528: Ground truth-dog, Test result-horse
1531: Ground truth-cat, Test result-truck
1534: Ground truth-deer, Test result-horse
1537: Ground truth-dog, Test result-cat
1538: Ground truth-deer, Test result-horse
1539: Ground truth-cat, Test result-truck
1546: Ground truth-automobile, Test result-truck
1550: Ground truth-automobile, Test result-truck
1553: Ground truth-cat, Test result-dog
1554: Ground truth-deer, Test result-frog
1555: Ground truth-deer, Test result-frog
1571: Ground truth-deer, Test result-horse
1573: Ground truth-frog, Test result-cat
1575: Ground truth-airplane, Test result-truck
1577: Ground truth-horse, Test result-cat
1578: Ground truth-dog, Test result-deer
1581: Ground truth-frog, Test result-dog
1582: Ground truth-bird, Test result-dog
1584: Ground truth-automobile, Test result-ship
1588: Ground truth-bird, Test result-airplane
1591: Ground truth-deer, Test result-airplane
1595: Ground truth-cat, Test result-dog
1601: Ground truth-ship, Test result-truck
1606: Ground truth-cat, Test result-horse
1608: Ground truth-cat, Test result-truck
1621: Ground truth-dog, Test result-cat
1633: Ground truth-ship, Test result-airplane
1634: Ground truth-automobile, Test result-ship
1637: Ground truth-dog, Test result-horse
1638: Ground truth-dog, Test result-frog
1641: Ground truth-horse, Test result-dog
1643: Ground truth-dog, Test result-deer
1645: Ground truth-bird, Test result-frog
1650: Ground truth-dog, Test result-bird
1663: Ground truth-cat, Test result-dog
1669: Ground truth-truck, Test result-automobile
1676: Ground truth-dog, Test result-bird
1682: Ground truth-dog, Test result-horse
1685: Ground truth-automobile, Test result-ship
1686: Ground truth-ship, Test result-truck
1688: Ground truth-ship, Test result-airplane
1691: Ground truth-bird, Test result-deer
1701: Ground truth-dog, Test result-cat
1709: Ground truth-horse, Test result-cat
1714: Ground truth-ship, Test result-truck
1716: Ground truth-cat, Test result-dog
